district,date,N,P,K,pH,OC,EC,Zn,Fe,Cu,Mn,Soil_Moisture,Water_pH,Water_EC,TDS,Salinity,Hardness,Temperature,Rainfall,Humidity,Wind_Speed,Solar_Radiation,Crop,Soil_Type,Will_Grow,season
Ramgarh,2023-01-01,202,36,571,7.54,2.21,1.22,3.13,9.26,0.23,10.42,34.29,6.66,2.06,447.2,2.44,137.8,19.6,67.3,50.3,13.3,54.9,Rice,Black,1,Rabi
Pakur,2023-01-02,255,44,489,5.94,1.51,0.82,1.2,6.41,1.46,10.78,17.37,6.96,2.17,64.8,2.36,66.6,12.9,131,42.9,4.5,188.1,Vegetables,Sandy,0,Rabi
West Singhbhum,2023-01-03,338,55,124,4.76,1.38,0.85,1.12,4.91,0.48,10.7,11.18,6.4,0.82,224.2,1.84,312.3,35.6,86.2,43.5,3.4,232.5,Pulses,Sandy,0,Rabi
Garhwa,2023-01-04,51,21,227,6.72,2.16,1.88,0.31,5.78,4.59,16.87,18.42,6.13,2.61,378.8,1.18,85.7,28.8,85.3,31.8,11.3,74.4,Wheat,Sandy,0,Rabi
Godda,2023-01-05,63,58,504,6.26,0.21,0.68,3.12,1.18,4.27,1.61,22.64,8.11,2.42,412.1,1.72,90.4,30.8,149.1,88.2,9.7,166.6,Pulses,Black,0,Rabi
West Singhbhum,2023-01-06,273,20,541,8.12,2.11,0.65,2.7,19.37,1.98,2.31,27.45,6.59,0.14,188.9,1.9,259.3,35.7,176.7,61.2,7.6,165.3,Millets,Black,0,Rabi
Khunti,2023-01-07,211,59,268,5.77,1.89,1.14,0.28,17.34,4.59,14.11,22.04,5.97,2.73,387.7,1.59,184.9,36.1,68.5,74.4,14.9,72.8,Vegetables,Sandy,0,Rabi
Garhwa,2023-01-08,147,15,547,4.96,1.54,1.7,1.73,5.15,3.62,5.29,33.89,5.6,1.68,468.6,0.31,372.6,25.5,80.9,92.7,1.6,167.6,Rice,Black,0,Rabi
Dhanbad,2023-01-09,316,53,394,6.75,0.53,1.5,2.1,4.94,4.81,14.83,19.35,7.48,1.13,307.9,1.75,226.9,28.3,4.5,60.6,5.5,149.7,Millets,Sandy,0,Rabi
Garhwa,2023-01-10,64,33,80,8.29,0.38,1.49,3.18,1.35,2.97,14.37,31.3,7.2,2.13,335.4,0.53,84.8,13.7,142.6,74.8,2.1,185.6,Wheat,Alluvial,0,Rabi
East Singhbhum,2023-01-11,152,23,238,8.34,1.43,1.77,1.72,8.14,4.7,9.07,25.79,6.12,1.1,211.9,0.65,113.2,27.3,53.9,70.8,14.6,239.2,Maize,Alluvial,0,Rabi
West Singhbhum,2023-01-12,399,50,221,5.98,1.33,0.35,0.85,17.32,3.75,1.88,38.8,6.77,1.07,399,1.2,257.7,33.8,160.6,34.9,2.5,141.5,Pulses,Sandy,0,Rabi
Garhwa,2023-01-13,397,6,63,5.36,1.37,1.05,2.87,12.64,1.26,16.39,18.54,6.11,1.17,130.2,1.63,397.5,36.3,176.2,32.9,11.6,198.3,Maize,Sandy,0,Rabi
Garhwa,2023-01-14,331,10,51,7.25,2.32,0.76,3.15,1.83,1.14,9.84,11.09,6.03,2.01,125.4,0.97,371.6,24,170.5,64.6,2.2,166.7,Pulses,Sandy,0,Rabi
Ranchi,2023-01-15,289,49,424,6.87,0.89,0.7,4.86,1.86,0.5,14.25,17.46,7.25,2.98,377.6,0.13,295.5,37.1,54.3,39.6,14.3,193.2,Maize,Sandy,0,Rabi
Dumka,2023-01-16,399,41,335,7.85,0.94,1.97,4.56,8.86,3.68,4.04,20.5,6.07,0.54,54.3,0.01,239.5,32.7,150.8,33.5,4.7,238.3,Vegetables,Alluvial,0,Rabi
